WORD,CONFIDENCE,Time Duration
okay,0.9,27
beginning,0.9,37.8
visit,0.5,30.6
just,0.7,23.4
yeah,0.8,19.8
element,0,23.4
and,0.7,12
dnmt,0.3,118.8
anytime,0.8,27
you,0.9,5.4
change,0.9,17.4
your,0.8,5.4
mind,0.8,15
you,0.1,3.6
want,0.5,12.6
me,0.6,5.4
to,0.4,5.4
turn,0.9,12.6
it,0.9,6
off,0.9,23.4
just,0.9,19.2
just,0.2,20.4
let,0.9,14.4
me,0.9,4.8
know,0.9,17.4
and,0.2,9.6
well,0.1,8.4
do,0.7,7.8
that,0.9,15
%HESITATION,0.9,30
sick,0.3,40.8
so,0.9,23.4
how,0.7,9
old,0.7,12.6
are,0.5,3.6
you,0.9,12
two,0.9,12.6
years,0.4,34.8
fn,0,103.2
%HESITATION,0.5,12
her,0.7,16.2
room,0.5,27
anthony,0.1,24.6
is,0.7,7.2
still,1,13.2
putting,0.6,28.8
her,0.9,24.6
up,0.5,17.4
for,0.7,6.6
blood,0.2,15.6
results,0.8,28.2
better,0.6,16.2
blackout,0.1,34.2
was,0.3,12.6
fine,0.3,20.4
shes,0.7,12.6
not,0.9,12.6
anemic,0.1,33
her,0.4,7.8
question,0.5,26.4
was,0.3,8.4
very,0.9,19.8
good,0.9,22.2
and,0.7,16.2
shes,0.4,12
unleaded,0,32.4
so,0.9,18.6
youre,0.7,24
youre,0.1,11.4
youre,0.2,6.6
finally,0.4,31.8
in,0.9,6
that,0.9,13.2
respect,0.9,33
%HESITATION,0.9,36
her,0.5,21
around,0.4,21
her,0.8,20.4
vaccines,0.8,64.8
you,0.3,25.8
know,0.2,16.8
we,0.9,9.6
have,0.9,25.8
we,0.9,9
have,0.9,20.4
the,0.9,16.8
%HESITATION,0.9,29.4
flu,0.5,17.4
vaccine,0.5,39.6
and,0.5,11.4
stocks,0.1,27.6
be,0.9,11.4
a,0.8,2.4
good,0.8,10.2
idea,0.9,15
to,0.8,4.8
give,0.8,10.8
her,0.1,3.6
that,0.7,16.2
while,0.7,9.6
youre,0.9,12
here,0.9,22.2
%HESITATION,0.5,24
and,0.7,13.8
then,0.8,7.2
the,0.9,6.6
only,0.9,15
other,0.9,12.6
vaccine,0.8,52.2
right,0.5,15
now,0.9,13.8
that,0.6,12
she,0.5,10.2
would,0.5,6.6
be,0.9,7.8
good,0.2,11.4
for,0.8,13.2
is,0.1,7.8
the,0.6,21.6
hepatitis,0.9,40.8
a,0.9,12.6
vaccine,0.9,44.4
thats,0.8,25.8
shes,0.3,13.2
had,0.6,14.4
to,0.6,4.8
be,0.6,18.6
baptized,0,33
creates,0,25.2
a,0.7,4.2
series,0.4,18.6
of,0.7,7.2
three,0.9,29.4
she,0.9,14.4
needs,0.8,30
art,0.1,16.2
with,0.9,8.4
hepatitis,0.9,36
a,0.2,13.2
is,0.2,9.6
a,0.3,4.2
series,0.6,22.2
of,0.6,9.6
two,0.9,19.2
six,0.7,21.6
to,0.2,5.4
twelve,0.6,19.8
months,0.9,16.2
apart,0.9,28.2
so,0.9,10.2
we,0.9,7.8
give,0.5,13.8
her,0.2,4.2
one,0.8,16.8
today,0.9,37.2
and,0.9,11.4
then,0.9,9
if,0.8,6.6
we,0.4,5.4
dont,0.8,12
see,0.8,7.8
organs,0.4,33.6
or,0.5,11.4
three,0.9,15
year,0.9,7.8
old,0.5,9
check,0.5,13.8
up,0.3,8.4
we,0.6,6
can,0.7,7.2
give,0,7.8
her,0.1,15
her,0.2,22.2
her,0.3,21.6
second,1,24.6
my,0.4,9
next,0.9,26.4
year,0.9,16.2
along,0.7,22.8
with,0.9,12
next,0.8,17.4
years,0.6,12.6
so,0.5,13.8
the,0.7,7.8
next,0.8,19.2
yeah,0.9,38.4
usually,0.6,20.4
three,0.3,25.2
unless,1,36
you,0.9,5.4
know,0.9,6.6
my,0.3,9
son,0.1,19.8
issue,0.7,15
comes,0.8,19.8
up,0.3,10.2
for,0.7,6.6
your,1,10.2
concern,0.5,44.4
develop,0.4,29.4
i,0.4,4.2
dont,0.1,16.2
everything,0.8,34.8
that,0.2,13.8
okay,0.6,16.8
so,0.1,8.4
i,0.3,7.2
just,0.4,20.4
dont,0.2,13.2
know,0.2,10.8
mt,0.2,33.6
yeah,0.7,12.6
if,0.1,12
you,0.1,5.4
ever,0.9,9.6
been,0.9,15.6
to,0.4,15.6
preschooler,0.7,66.6
nursery,0.9,23.4
school,0.9,31.8
there,0.2,16.2
okay,0.8,20.4
yeah,0.2,21
wonderful,0.5,34.8
example,0.2,43.2
dnmt,0.5,42
mn,0.7,77.4
exposed,0.5,33.6
somewhere,0.1,50.4
were,0.2,12
germs,0.9,39
sarah,0.1,28.2
you,0.6,11.4
grew,0.9,26.4
up,0.3,10.2
one,0.1,13.2
and,0.7,18
three,0.9,13.8
ounces,0.9,31.8
since,0.9,18.6
last,0.9,24
february,0.9,43.8
two,1,10.8
and,1,6
a,1,3.6
half,1,15.6
inches,0.9,33.6
much,0.1,22.2
dnmt,0.5,55.2
sentences,0.2,48
her,0.9,13.2
room,0.2,34.2
her,0.7,10.2
height,0.6,43.8
so,0.9,13.8
shes,0.9,46.8
shes,0.4,24
probably,0.6,14.4
about,0.6,15.6
fifty,0.7,24
almost,1,29.4
fifty,0.7,21.6
average,0.7,37.2
shes,0.5,26.4
thats,0.9,16.2
coming,0.4,16.2
out,0.3,12.6
fine,0.6,26.4
and,0.9,22.2
her,0.9,17.4
work,0.1,13.2
way,0.7,29.4
theyre,0.3,9
way,0.8,16.2
shes,0.6,29.4
a,0.1,16.8
string,0.9,24
bean,0.4,16.2
nnj,0.5,61.2
is,0.2,9.6
about,0.6,19.8
ten,0.9,18.6
percent,0.8,32.4
out,0.2,17.4
there,0.5,16.8
i,0.7,6
dont,0.3,16.2
know,0.2,4.2
what,0,12
the,0,9.6
hell,0,15
on,0.2,26.4
i,0.9,8.4
have,0.7,12.6
even,0.1,22.8
alright,0.2,18.6
to,0.9,20.4
yeah,0.9,25.8
theyre,0.7,23.4
finally,0.1,40.2
okay,0.8,22.8
well,0.9,25.8
the,0.9,7.8
way,0.9,11.4
